USPS|GEOID|GEOIDFQ|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
AL|01001020100|1400000US01001020100|9825303|28435|3.794|0.011|32.4819731|-86.4915648
AL|01001020200|1400000US01001020200|3320818|5669|1.282|0.002|32.475758|-86.4724678
AL|01001020300|1400000US01001020300|5349271|9054|2.065|0.003|32.4740243|-86.4597033
AL|01001020400|1400000US01001020400|6384282|8408|2.465|0.003|32.4710304|-86.4448353
AL|01001020501|1400000US01001020501|6203654|0|2.395|0.|32.4478607|-86.4225578
AL|01001020502|1400000US01001020502|2097390|379|0.81|0.|32.4657357|-86.4188549
AL|01001020503|1400000US01001020503|3107823|43155|1.2|0.017|32.475447|-86.4255333
AL|01001020600|1400000US01001020600|8041698|59696|3.105|0.023|32.4473399|-86.4768278
AL|01001020700|1400000US01001020700|22411814|772045|8.653|0.298|32.4265973|-86.4432668
AL|01001020801|1400000US01001020801|124269888|8120405|47.981|3.135|32.4180713|-86.5271273
AL|01001020803|1400000US01001020803|129030127|584928|49.819|0.226|32.5240173|-86.546795
AL|01001020804|1400000US01001020804|26378236|5263|10.185|0.002|32.5027017|-86.4528568
AL|01001020805|1400000US01001020805|35437301|50638|13.682|0.02|32.5576357|-86.430535
AL|01001020901|1400000US01001020901|105252239|271716|40.638|0.105|32.651143|-86.4577699
AL|01001020902|1400000US01001020902|187504577|244436|72.396|0.094|32.6357135|-86.5634094
AL|01001021000|1400000US01001021000|386865286|1575402|149.37|0.608|32.6061376|-86.7489849
AL|01001021100|1400000US01001021100|478151753|13897907|184.615|5.366|32.4574129|-86.7290029
AL|01003010100|1400000US01003010100|971527027|37552076|375.109|14.499|31.1104762|-87.7868713
AL|01003010200|1400000US01003010200|221797185|358878|85.636|0.139|30.9478929|-87.6787306
AL|01003010300|1400000US01003010300|343039108|23131566|132.448|8.931|30.8412001|-87.8786378
AL|01003010400|1400000US01003010400|737472799|3860478|284.74|1.491|30.7200267|-87.6245437
AL|01003010500|1400000US01003010500|17424882|143767|6.728|0.056|30.8969612|-87.7737368
AL|01003010600|1400000US01003010600|18578278|21477|7.173|0.008|30.8535066|-87.7701429
AL|01003010704|1400000US01003010704|8412810|210501|3.248|0.081|30.6477601|-87.8838007
AL|01003010706|1400000US01003010706|13440689|2433|5.189|0.001|30.6803477|-87.8856792
AL|01003010707|1400000US01003010707|95955016|53922489|37.048|20.82|30.7544801|-87.9483253
AL|01003010708|1400000US01003010708|81515043|457400|31.473|0.177|30.6836114|-87.8296669
AL|01003010709|1400000US01003010709|62596360|199044|24.169|0.077|30.5788587|-87.839018
AL|01003010710|1400000US01003010710|13820240|26216754|5.336|10.122|30.6604947|-87.9557115
AL|01003010711|1400000US01003010711|3550778|36448|1.371|0.014|30.6389851|-87.8993395
AL|01003010800|1400000US01003010800|18070383|3938649|6.977|1.521|30.5939161|-87.9006394
AL|01003010903|1400000US01003010903|55590696|270073|21.464|0.104|30.6072432|-87.7798044
AL|01003010904|1400000US01003010904|276176721|3607489|106.632|1.393|30.5640707|-87.5731188
AL|01003010906|1400000US01003010906|39323310|185367|15.183|0.072|30.5641292|-87.6870074
AL|01003010907|1400000US01003010907|40172212|132419|15.511|0.051|30.5259518|-87.7753308
AL|01003010908|1400000US01003010908|30950200|48766|11.95|0.019|30.5433452|-87.7278605
AL|01003011000|1400000US01003011000|130503937|720538|50.388|0.278|30.4896994|-87.6767299
AL|01003011102|1400000US01003011102|45245588|812152|17.469|0.314|30.4799296|-87.8330813
AL|01003011103|1400000US01003011103|15713122|9730|6.067|0.004|30.5296542|-87.8260181
AL|01003011104|1400000US01003011104|17897731|16863|6.91|0.007|30.5127023|-87.8471486
AL|01003011201|1400000US01003011201|12314908|1296975|4.755|0.501|30.5408065|-87.891618
AL|01003011202|1400000US01003011202|13488179|2596184|5.208|1.002|30.5036849|-87.904561
AL|01003011300|1400000US01003011300|65678539|12647453|25.359|4.883|30.4293701|-87.8782358
AL|01003011409|1400000US01003011409|53692973|476227|20.731|0.184|30.428891|-87.7634335
AL|01003011410|1400000US01003011410|111059183|11553015|42.88|4.461|30.3607256|-87.7725034
AL|01003011411|1400000US01003011411|41223545|6521874|15.917|2.518|30.3244734|-87.618452
AL|01003011412|1400000US01003011412|22795361|2322345|8.801|0.897|30.2969777|-87.7128565
AL|01003011413|1400000US01003011413|21220859|340400|8.193|0.131|30.3010739|-87.6607298
AL|01003011414|1400000US01003011414|7717710|7820495|2.98|3.02|30.3005888|-87.54179
AL|01003011415|1400000US01003011415|7776188|12607434|3.002|4.868|30.2896945|-87.5148942
AL|01003011416|1400000US01003011416|13478383|16043826|5.204|6.195|30.2354488|-87.7773475
AL|01003011417|1400000US01003011417|16287678|812478|6.289|0.314|30.2850214|-87.6039237
AL|01003011418|1400000US01003011418|18119418|7852822|6.996|3.032|30.2632859|-87.6478349
AL|01003011419|1400000US01003011419|47697991|30697996|18.416|11.853|30.2400973|-87.9263265
AL|01003011501|1400000US01003011501|38616112|85869|14.91|0.033|30.4324484|-87.6790139
AL|01003011503|1400000US01003011503|24911988|27932|9.619|0.011|30.3792229|-87.6939612
AL|01003011504|1400000US01003011504|26999633|417724|10.425|0.161|30.3813973|-87.6380235
AL|01003011601|1400000US01003011601|234594369|12067990|90.577|4.659|30.4082096|-87.5555847
AL|01003011603|1400000US01003011603|55751184|29183567|21.526|11.268|30.4281978|-87.4296554
AL|01003011604|1400000US01003011604|25735587|6107774|9.937|2.358|30.3665744|-87.4873351
AL|01003990000|1400000US01003990000|0|815342622|0.|314.806|30.3288009|-87.8829736
AL|01005950100|1400000US01005950100|485234140|29054936|187.35|11.218|32.0353533|-85.2477678
AL|01005950200|1400000US01005950200|517006045|983621|199.617|0.38|31.9222752|-85.4498308
AL|01005950300|1400000US01005950300|352796712|499970|136.216|0.193|31.7908933|-85.5670514
AL|01005950400|1400000US01005950400|343319539|397957|132.556|0.154|31.6794432|-85.5577196
AL|01005950500|1400000US01005950500|333715686|9982138|128.848|3.854|31.7634183|-85.2718649
AL|01005950600|1400000US01005950600|101691408|1097034|39.263|0.424|31.8783526|-85.2729215
AL|01005950700|1400000US01005950700|127211867|112809|49.117|0.044|31.9440855|-85.2620842
AL|01005950800|1400000US01005950800|14729758|262593|5.687|0.101|31.9203546|-85.1756308
AL|01005950900|1400000US01005950900|16454997|8132155|6.353|3.14|31.8559766|-85.1513159
AL|01007010001|1400000US01007010001|232455317|1777584|89.752|0.686|33.0791483|-87.1730915
AL|01007010005|1400000US01007010005|63483743|521896|24.511|0.202|33.1751505|-87.1427298
AL|01007010006|1400000US01007010006|117154852|920975|45.234|0.356|33.1824141|-87.0823075
AL|01007010007|1400000US01007010007|390852613|1601300|150.909|0.618|32.8883969|-86.9477291
AL|01007010008|1400000US01007010008|300817002|2534986|116.146|0.979|33.0332174|-87.0211228
AL|01007010009|1400000US01007010009|66539142|1426778|25.691|0.551|32.8945208|-87.1921653
AL|01007010010|1400000US01007010010|54082646|316412|20.881|0.122|32.9784509|-87.1866443
AL|01007010011|1400000US01007010011|386803398|472371|149.346|0.182|32.955222|-87.321793
AL|01009050103|1400000US01009050103|101604724|5974506|39.23|2.307|33.8656656|-86.5073198
AL|01009050104|1400000US01009050104|76806475|263498|29.655|0.102|33.9346212|-86.5518366
AL|01009050105|1400000US01009050105|108019654|753399|41.707|0.291|33.9749736|-86.4037827
AL|01009050106|1400000US01009050106|20017509|0|7.729|0.|33.925327|-86.4725259
AL|01009050107|1400000US01009050107|93604904|1489215|36.141|0.575|33.88481|-86.4069536
AL|01009050200|1400000US01009050200|116533489|550320|44.994|0.212|33.9974352|-86.544238
AL|01009050301|1400000US01009050301|87317405|314344|33.713|0.121|34.1400655|-86.3531063
AL|01009050302|1400000US01009050302|102580628|180469|39.607|0.07|34.0463998|-86.3847326
AL|01009050400|1400000US01009050400|245145237|1255670|94.651|0.485|34.1660342|-86.4971736
AL|01009050501|1400000US01009050501|136864363|919143|52.844|0.355|34.062471|-86.6104394
AL|01009050502|1400000US01009050502|112354107|576209|43.38|0.222|33.9958792|-86.6840888
AL|01009050601|1400000US01009050601|83641620|353351|32.294|0.136|33.8702666|-86.8934341
AL|01009050603|1400000US01009050603|55098965|669882|21.274|0.259|33.8778489|-86.741815
AL|01009050604|1400000US01009050604|126994789|537537|49.033|0.208|33.9153019|-86.7903651
AL|01009050701|1400000US01009050701|117582339|736695|45.399|0.284|33.8055206|-86.6285786
AL|01009050702|1400000US01009050702|86130582|248351|33.255|0.096|33.8739997|-86.6773768
AL|01011952100|1400000US01011952100|428206382|492358|165.331|0.19|32.1157274|-85.5267341
AL|01011952201|1400000US01011952201|188985004|1098697|72.968|0.424|32.1732854|-85.7777131
